Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
DD1,"Electricity, gas, water, and waste services",2017Q4,2000,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q1,1932,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q2,1782,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q3,1836,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q4,2066,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q1,2217,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q2,1967,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q3,2176,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q4,1860,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q1,2061,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q2,1996,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q3,2562,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q4,1937,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q1,2375,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q2,2746,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q3,1963,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q4,1393,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2022Q1,1902,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q1,223,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q2,226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q3,254,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q4,235,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q1,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q2,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q3,229,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q4,233,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q1,238,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q2,253,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q3,266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q4,299,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q1,314,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q2,292,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q3,328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q4,384,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q1,371,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q2,400,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q3,399,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q4,418,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q1,395,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q2,382,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q3,378,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q4,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q1,377,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q2,267,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q3,421,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q4,405,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q1,406,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q2,416,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q3,363,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q4,404,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q1,391,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q1,2072,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q2,2084,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q3,2126,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q4,2143,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q1,2191,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q2,2246,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q3,2226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
